animal_id,name,breed,raw_breed,color,secondary_color,sex,is_puppy,intake_date,days_waiting,intake_reason,health,date_of_birth
31060,,Chihuahua,Chihuahua - Smooth,Black,Tan Points,Unknown,0,2026-08-04,10,Stray,,
31072,,German Shepherd,German Shepherd,Tan,Sable,Unknown,1,2026-08-04,10,Stray,,
31073,,German Shepherd,German Shepherd,Tan,Sable,Unknown,1,2026-08-04,10,Stray,,
31074,,German Shepherd,German Shepherd,Tan,Sable,Unknown,1,2026-08-04,10,Stray,,
31075,,German Shepherd,German Shepherd,Tan,Sable,Unknown,1,2026-08-04,10,Stray,,
31076,,German Shepherd,German Shepherd,Tan,Sable,Unknown,1,2026-08-04,10,Stray,,
31077,,German Shepherd,German Shepherd,Tan,Sable,Unknown,1,2026-08-04,10,Stray,,
31078,,German Shepherd,German Shepherd,Tan,Sable,Unknown,1,2026-08-04,10,Stray,,
31081,,Australian Cattle Dog,Australian Cattle Dog,Merle,White,Unknown,0,2026-08-04,10,Stray,,
31094,Bella,Labrador Retriever,Labrador Retriever,Red,Blonde,Female,0,2026-08-05,9,ACO - Impound,,2024-08-05
31097,Princess,American Pit Bull Terrier,American Pit Bull Terrier,Blue,White,Female,0,2026-08-05,9,Owner Surrender,,2021-08-05
31107,Bridgette,Labrador Retriever,Labrador Retriever,Black,White,Female,1,2026-08-05,9,Owner Surrender,,2026-05-05
31106,Hershey,Labrador Retriever,Labrador Retriever,Black,,Female,1,2026-08-05,9,Owner Surrender,,2026-05-05
30902,,American Pit Bull Terrier,American Pit Bull Terrier,Tan,White,Male,1,2026-08-05,9,Stray,,
30903,,American Pit Bull Terrier,American Pit Bull Terrier,Tan,White,Female,1,2026-08-05,9,Stray,,
31129,,Dutch Shepherd,Dutch Shepherd,Tan,White,Female,0,2026-08-05,9,ACO - Impound,,
31133,,German Shepherd,German Shepherd,Black,Brown,Male,0,2026-08-05,9,Stray,,2024-08-05
31146,,German Shepherd,German Shepherd,Brown,Black,Unknown,0,2026-08-05,9,Stray,,2024-08-05
31149,,Shepherd,Shepherd,Yellow,,Male,0,2026-08-05,9,ACO - Impound,,
31150,,American Pit Bull Terrier,American Pit Bull Terrier,Brown,,Female,0,2026-08-05,9,ACO - Impound,,2024-08-05
31151,Simba,American Pit Bull Terrier,American Pit Bull Terrier,Red,White,Male,0,2026-08-05,9,ACO - Impound,,2013-10-23
31178,,Golden Retriever,Golden Retriever,Apricot,,Unknown,0,2026-08-06,8,Agency,,
31188,,Cairn Terrier,Cairn Terrier,Black,,Female,0,2026-08-06,8,Stray,,2024-08-06
31128,,American Pit Bull Terrier,American Pit Bull Terrier,Tri Color,,Male,0,2026-08-06,8,ACO - Impound,,2021-08-06
31203,,American Pit Bull Terrier,American Pit Bull Terrier,Black,Brown,Unknown,0,2026-08-06,8,Stray,,2026-03-06
31202,Diesel,American Staffordshire Terrier,American Staffordshire Terrier,White,Tan,Unknown,0,2026-08-06,8,Owner Surrender,,2018-06-06
31215,,Siberian Husky,Siberian Husky,White,Black,Unknown,1,2026-08-07,7,Agency,,2026-04-07
31220,Soji*,Australian Cattle Dog,Australian Cattle Dog,White,Black,Male,0,2026-08-07,7,Owner Surrender,,2022-08-07
31225,,American Pit Bull Terrier,American Pit Bull Terrier,Blue,White,Male,0,2026-08-07,7,Stray,,
31230,Daisy,American Staffordshire Terrier,American Staffordshire Terrier,Tri Color,,Female,0,2026-08-07,7,Stray,Normal,
31237,,English Bulldog,English Bulldog,Red Brown,White,Male,0,2026-08-07,7,Stray,Normal,
31240,,Flat Coated Retriever,Flat Coated Retriever,Black,White,Female,0,2026-08-07,7,Stray,Normal,
31241,,Australian Kelpie,Australian Kelpie,Black,Tan,Female,0,2026-08-07,7,Stray,,2026-02-07
31247,,American Pit Bull Terrier,American Pit Bull Terrier,Brown Brindle,,Unknown,1,2026-08-07,7,Stray,,2026-04-07
31248,Royce,Labrador Retriever,Labrador Retriever,Black,,Male,0,2026-08-07,7,Owner Surrender,Normal,2018-08-07
31318,,Great Pyrenees,Great Pyrenees,White,Black,Male,0,2026-08-09,6,ACO - Impound,,
31300,Unknown,Terrier,Terrier,Tan,Tan,Male,0,2026-08-08,6,ACO - Impound,Sick,2024-08-08
31306,,Golden Retriever,Golden Retriever,Chestnut,,Female,0,2026-08-08,6,Stray,Normal,2025-12-08
31329,,Chihuahua,Chihuahua - Smooth,Black,Brown,Unknown,1,2026-08-10,5,ACO - Impound,,
31339,,Great Pyrenees,Great Pyrenees,White,,Female,0,2026-08-10,4,ACO - Impound,,2024-08-10
31340,,Great Pyrenees,Great Pyrenees,White,,Male,0,2026-08-10,4,ACO - Impound,,2024-08-10
31346,,Basset Hound,Basset Hound,Tan,White,Male,0,2026-08-10,4,Stray,,2024-08-10
31349,Papucho,American Staffordshire Terrier,American Staffordshire Terrier,Blonde,,Unknown,0,2026-08-10,4,Owner Surrender,,2022-08-10
